Address,Rooms,Floor,Square,Price,Day,Month,Year
קבוץ גלויות 25,2.0,2,39.0,920000.0,25,11,2021
המעפילים 40,2.0,2,42.0,1180000.0,18,11,2021
המעפילים 22,2.0,0,39.0,1150000.0,14,11,2021
המעפילים 9,4.0,5,99.0,1200000.0,14,11,2021
המעפילים 1,4.0,5,94.0,1190000.0,12,11,2021
קבוץ גלויות 20,3.0,4,59.0,1070000.0,8,11,2021
"רמב""ם 2",3.0,3,65.0,1020000.0,2,11,2021
המעפילים 9,3.0,3,68.0,1300000.0,28,10,2021
קבוץ גלויות 37,2.0,1,39.0,830000.0,27,10,2021
המעפילים 6,3.0,2,63.0,1150000.0,25,10,2021
"רמב""ם 14",2.0,2,42.0,980000.0,22,10,2021
המעפילים 32,2.0,2,39.0,1150000.0,22,10,2021
שבי ציון 37,3.0,6,66.0,1175000.0,21,10,2021
הרב קוק 12,2.0,1,44.0,1150000.0,20,10,2021
המעפילים 58,3.0,3,50.0,1320000.0,20,10,2021
הרב קוק 15,4.0,4,64.0,940000.0,19,10,2021
הרב קוק 19,3.0,1,54.0,600000.0,14,10,2021
המעפילים 62,3.0,3,97.0,1350000.0,11,10,2021
קבוץ גלויות 13,4.0,0,77.0,1260000.0,10,10,2021
המעפילים 58,4.0,1,107.0,1310000.0,7,10,2021
המעפילים 52,3.0,2,58.0,1315000.0,7,10,2021
המעפילים 32,2.0,0,39.0,1120000.0,5,10,2021
הרב קוק 39,3.0,3,54.0,1070000.0,5,10,2021
הרב קוק 3,4.0,1,63.0,1350000.0,4,10,2021
"רמב""ם 9",2.0,0,39.0,223000.0,3,10,2021
אבן גבירול 2,2.0,1,49.0,288000.0,3,10,2021
בורוכוב 22,2.0,2,39.0,154000.0,30,9,2021
קבוץ גלויות 21,3.0,0,77.0,1370000.0,19,9,2021
המעפילים 5,4.0,4,80.0,1325000.0,14,9,2021
אבן גבירול 13,2.0,2,39.0,850000.0,12,9,2021
"רמב""ם 10",2.0,0,39.0,900000.0,9,9,2021
הרב מימון 27,2.0,2,42.0,930000.0,31,8,2021
קבוץ גלויות 6,3.0,3,59.0,1061000.0,31,8,2021
הרב קוק 15,4.0,4,64.0,937000.0,29,8,2021
מקלנבורג 8,2.0,1,44.0,870000.0,25,8,2021
"רמב""ם 8",2.0,1,39.0,700000.0,23,8,2021
המעפילים 15,4.0,6,102.0,1360000.0,23,8,2021
המעפילים 30,2.0,2,39.0,1050000.0,15,8,2021
המעפילים 2,4.0,7,111.0,1750000.0,10,8,2021
המעפילים 4,3.0,7,66.0,1280000.0,8,8,2021
הרב קוק 31,3.0,4,50.0,1090000.0,1,8,2021
המעפילים 26,3.0,4,64.0,890000.0,1,8,2021
קבוץ גלויות 31,2.0,0,39.0,1110000.0,1,8,2021
סטרומה 7,4.0,5,90.0,1420000.0,1,8,2021
המעפילים 9,5.0,4,104.0,1320000.0,28,7,2021
