Address,Rooms,Floor,Square,Price,Day,Month,Year
קרן היסוד 26,4.0,7,111.0,1530000.0,22,11,2021
בן אליעזר אריה 18,3.0,7,70.0,1000000.0,21,11,2021
רוגוזין 33,5.0,2,106.0,1515000.0,10,11,2021
קרן היסוד 47,4.0,2,80.0,1426000.0,7,11,2021
קרן היסוד 47,3.0,1,70.0,1355000.0,3,11,2021
בן אליעזר אריה 10,3.0,6,67.0,1290000.0,31,10,2021
קרן היסוד 11,4.0,4,80.0,1320000.0,25,10,2021
קרן היסוד 11,3.0,2,64.0,1265000.0,25,10,2021
רוגוזין 52,3.0,2,78.0,1320000.0,21,10,2021
בן אליעזר אריה 7,4.0,1,117.0,1880000.0,21,10,2021
המפרש 5,5.0,4,152.0,2500000.0,20,10,2021
קרן היסוד 1,4.0,1,80.0,1100000.0,18,10,2021
ארן זלמן 21,3.0,3,62.0,1205000.0,17,10,2021
בן אליעזר אריה 25,4.0,3,102.0,1630000.0,17,10,2021
קרן היסוד 49,6.0,7,163.0,2041000.0,15,10,2021
קרן היסוד 20,4.0,2,121.0,1350000.0,13,10,2021
בן אליעזר אריה 22,4.0,2,78.0,1430000.0,12,10,2021
קרן היסוד 31,3.0,4,70.0,1300000.0,11,10,2021
ארן זלמן 5,4.0,1,85.0,1365000.0,11,10,2021
ארן זלמן 7,3.0,3,61.0,1520000.0,10,10,2021
השייטים 4,5.0,8,103.0,1400000.0,10,10,2021
ארן זלמן 7,4.0,5,116.0,1610000.0,10,10,2021
קרן היסוד 20,3.0,3,72.0,1600000.0,8,10,2021
שפירא משה חיים 4,3.0,3,61.0,439000.0,7,10,2021
ארן זלמן 5,4.0,5,85.0,1370000.0,7,10,2021
בן אליעזר אריה 3,4.0,7,85.0,1580000.0,7,10,2021
הרב שאולי 21,5.0,8,136.0,2409000.0,5,10,2021
הרב שאולי 9,4.0,3,73.0,429000.0,3,10,2021
רוגוזין 27,4.0,7,110.0,2275000.0,20,9,2021
קרן היסוד 39,4.0,4,80.0,1310000.0,14,9,2021
הרב שאולי 39,3.0,1,60.0,1390000.0,14,9,2021
רוגוזין 57,4.0,7,94.0,1840000.0,12,9,2021
הרב שאולי 23,3.0,1,61.0,1780000.0,1,9,2021
בן אליעזר אריה 12,3.0,3,72.0,1276000.0,30,8,2021
בן אליעזר אריה 2,4.0,3,99.0,1670000.0,30,8,2021
בן אליעזר אריה 11,5.0,6,138.0,1785000.0,30,8,2021
ארן זלמן 5,4.0,3,85.0,1450000.0,25,8,2021
שפירא משה חיים 23,5.0,5,92.0,1655000.0,24,8,2021
ארן זלמן 21,3.0,4,62.0,1200000.0,22,8,2021
קרן היסוד 32,3.0,1,97.0,1310000.0,19,8,2021
ארן זלמן 7,4.0,6,118.0,1640000.0,19,8,2021
האלמוגים 4,3.0,9,53.0,1226000.0,18,8,2021
בן אליעזר אריה 17,3.0,7,67.0,1270000.0,16,8,2021
הצוללים 7,4.0,6,94.0,1975000.0,15,8,2021
עופר אברהם 1,4.0,2,78.0,1490000.0,13,8,2021
ארן זלמן 21,3.0,1,62.0,1290000.0,12,8,2021
החובלים 8,4.0,7,95.0,1459000.0,12,8,2021
בן אליעזר אריה 11,5.0,6,133.0,1855000.0,9,8,2021
קרן היסוד 27,3.0,1,70.0,1150000.0,8,8,2021
בן אליעזר אריה 25,4.0,1,76.0,1420000.0,8,8,2021
בן אליעזר אריה 7,5.0,2,89.0,1730000.0,5,8,2021
החובלים 2,4.0,7,99.0,2080000.0,5,8,2021
ארן זלמן 1,4.0,4,85.0,1450000.0,3,8,2021
עופר אברהם 13,5.0,1,85.0,1400000.0,3,8,2021
הצוללים 1,5.0,7,121.0,1850000.0,3,8,2021
קרן היסוד 3,3.0,3,64.0,1200000.0,30,7,2021
הרב שאולי 25,3.0,1,61.0,1580000.0,28,7,2021
קרן היסוד 30,4.0,8,78.0,1210000.0,28,7,2021
ארן זלמן 9,4.0,3,107.0,1400000.0,27,7,2021
קרן היסוד 33,4.0,4,80.0,1313000.0,27,7,2021
הדולפין 8,6.0,1,131.0,2450000.0,25,7,2021
שפירא משה חיים 2,3.0,3,61.0,1450000.0,21,7,2021
עופר אברהם 13,4.0,1,97.0,1450000.0,19,7,2021
בן אליעזר אריה 10,3.0,3,67.0,1230000.0,16,7,2021
קרן היסוד 9,3.0,3,64.0,1270000.0,9,7,2021
קרן היסוד 11,4.0,2,80.0,1400000.0,8,7,2021
הדולפין 5,4.0,3,124.0,2800000.0,6,7,2021
האלמוגים 8,4.0,2,94.0,2580000.0,6,7,2021
קרן היסוד 47,4.0,3,80.0,916000.0,5,7,2021
בן אליעזר אריה 23,4.0,7,84.0,1400000.0,29,6,2021
בן אליעזר אריה 11,3.0,1,102.0,1605000.0,29,6,2021
האלמוגים 4,4.0,7,110.0,1750000.0,28,6,2021
קרן היסוד 26,4.0,6,129.0,1710000.0,28,6,2021
ירושלים 9,6.0,9,134.0,2370000.0,28,6,2021
רוגוזין 41,5.0,2,123.0,1700000.0,27,6,2021
הצוללים 8,4.0,6,91.0,1200000.0,25,6,2021
הגולשים 8,3.0,7,80.0,1650000.0,25,6,2021
בן אליעזר אריה 27,4.0,6,79.0,1280000.0,22,6,2021
בן אליעזר אריה 19,4.0,7,77.0,1385000.0,18,6,2021
קרן היסוד 20,4.0,0,100.0,1150000.0,10,6,2021
רוגוזין 21,4.0,2,117.0,1620000.0,8,6,2021
החובלים 4,4.0,5,100.0,1690000.0,3,6,2021
הגלים 16,5.0,1,122.0,2100000.0,1,6,2021
הרב שאולי 27,3.0,2,61.0,749000.0,1,6,2021
קרן היסוד 8,4.0,4,104.0,1720000.0,31,5,2021
עופר אברהם 1,3.0,2,79.0,1340000.0,27,5,2021
קרן היסוד 1,4.0,2,80.0,1320000.0,20,5,2021
ארן זלמן 9,4.0,0,119.0,1600000.0,11,5,2021
רוגוזין 37,5.0,5,169.0,2150000.0,11,5,2021
הרב שאולי 15,3.0,2,73.0,1330000.0,10,5,2021
רוגוזין 61,4.0,5,98.0,1700000.0,10,5,2021
ארן זלמן 3,4.0,4,85.0,1100000.0,4,5,2021
בן אליעזר אריה 13,4.0,1,103.0,1475000.0,4,5,2021
הצוללים 2,4.0,1,96.0,1620000.0,4,5,2021
שפירא משה חיים 13,4.0,5,77.0,1500000.0,3,5,2021
בן אליעזר אריה 11,5.0,4,138.0,1655000.0,3,5,2021
רוגוזין 66,4.0,6,90.0,1475000.0,29,4,2021
רוגוזין 64,4.0,6,90.0,1475000.0,27,4,2021
רוגוזין 35,3.0,3,81.0,1300000.0,27,4,2021
קרן היסוד 3,3.0,3,64.0,1260000.0,26,4,2021
רוגוזין 35,3.0,2,81.0,1415000.0,22,4,2021
רוגוזין 27,5.0,9,149.0,2300000.0,22,4,2021
קרן היסוד 38,4.0,6,107.0,1676000.0,22,4,2021
בן אליעזר אריה 10,3.0,1,67.0,1350000.0,20,4,2021
קרן היסוד 25,4.0,1,80.0,800000.0,19,4,2021
עופר אברהם 7,4.0,1,84.0,1350000.0,19,4,2021
שפירא משה חיים 13,5.0,7,109.0,1820000.0,19,4,2021
קרן היסוד 7,3.0,1,64.0,1050000.0,12,4,2021
האלמוגים 6,4.0,2,94.0,1950000.0,12,4,2021
ארן זלמן 1,4.0,6,85.0,1355000.0,12,4,2021
עופר אברהם 15,3.0,7,76.0,1414000.0,9,4,2021
ארן זלמן 3,4.0,6,85.0,1260000.0,7,4,2021
ארן זלמן 9,4.0,4,61.0,1540000.0,4,4,2021
קרן היסוד 24,4.0,8,77.0,1280000.0,4,4,2021
רוגוזין 33,4.0,2,89.0,1550000.0,25,3,2021
קרן היסוד 15,3.0,4,64.0,1180000.0,25,3,2021
קרן היסוד 29,3.0,4,59.0,1175000.0,24,3,2021
רוגוזין 56,4.0,1,94.0,1420000.0,22,3,2021
ארן זלמן 5,4.0,6,85.0,1420000.0,17,3,2021
האלמוגים 4,4.0,6,110.0,1500000.0,17,3,2021
שפירא משה חיים 15,4.0,4,78.0,1410000.0,15,3,2021
בן אליעזר אריה 19,4.0,2,77.0,1380000.0,14,3,2021
קרן היסוד 39,3.0,4,70.0,1245000.0,3,3,2021
ירושלים 3,4.0,7,87.0,1850000.0,2,3,2021
עופר אברהם 7,3.0,3,82.0,1310000.0,1,3,2021
הרב שאולי 41,4.0,8,83.0,1320000.0,1,3,2021
בן אליעזר אריה 19,4.0,6,77.0,1400000.0,25,2,2021
בן אליעזר אריה 15,5.0,6,101.0,1826000.0,24,2,2021
האלמוגים 4,4.0,2,110.0,1550000.0,23,2,2021
קרן היסוד 30,4.0,1,78.0,1340000.0,18,2,2021
רוגוזין 33,4.0,4,89.0,1500000.0,17,2,2021
שפירא משה חיים 1,4.0,1,69.0,1150000.0,16,2,2021
החובלים 5,4.0,4,85.0,1470000.0,14,2,2021
שפירא משה חיים 7,5.0,6,97.0,1490000.0,7,2,2021
שפירא משה חיים 17,4.0,5,78.0,1220000.0,4,2,2021
עופר אברהם 7,4.0,3,87.0,1430000.0,3,2,2021
רוגוזין 74,4.0,2,95.0,1700000.0,3,2,2021
החובלים 4,3.0,6,103.0,1200000.0,31,1,2021
ארן זלמן 3,4.0,2,85.0,1091000.0,15,1,2021
הגולשים 8,5.0,3,119.0,2070000.0,10,1,2021
רוגוזין 62,4.0,3,94.0,1230000.0,7,1,2021
רוגוזין 55,3.0,1,80.0,1350000.0,6,1,2021
ארן זלמן 4,4.0,3,84.0,1470000.0,4,1,2021
המפרש 6,5.0,4,132.0,2050000.0,1,1,2021
קרן היסוד 43,4.0,3,70.0,1100000.0,31,12,2020
בן אליעזר אריה 15,5.0,6,115.0,1655000.0,31,12,2020
הרב שאולי 23,3.0,3,61.0,519000.0,27,12,2020
החובלים 5,4.0,7,90.0,1700000.0,24,12,2020
קרן היסוד 29,3.0,3,59.0,1195000.0,22,12,2020
קרן היסוד 32,4.0,4,65.0,1350000.0,20,12,2020
קרן היסוד 43,4.0,2,80.0,1300000.0,15,12,2020
בן אליעזר אריה 22,4.0,1,78.0,1280000.0,10,12,2020
קרן היסוד 20,3.0,3,72.0,1530000.0,9,12,2020
הצוללים 1,6.0,8,135.0,1785000.0,8,12,2020
קרן היסוד 37,3.0,4,59.0,1120000.0,7,12,2020
קרן היסוד 27,3.0,3,70.0,1210000.0,3,12,2020
קרן היסוד 43,4.0,1,70.0,1550000.0,3,12,2020
קרן היסוד 21,3.0,3,59.0,1085000.0,1,12,2020
קרן היסוד 41,3.0,5,90.0,1226000.0,30,11,2020
קרן היסוד 41,3.0,6,92.0,1226000.0,26,11,2020
הצוללים 8,4.0,1,91.0,1535000.0,24,11,2020
הדולפין 8,5.0,4,154.0,2120000.0,19,11,2020
עופר אברהם 7,4.0,3,93.0,1300000.0,18,11,2020
קרן היסוד 21,3.0,2,59.0,1127000.0,16,11,2020
בן אליעזר אריה 5,4.0,3,85.0,1495000.0,9,11,2020
שפירא משה חיים 11,4.0,7,78.0,1434000.0,9,11,2020
האלמוגים 17,5.0,1,131.0,2630000.0,9,11,2020
קרן היסוד 29,3.0,2,59.0,720000.0,7,11,2020
בן אליעזר אריה 22,3.0,2,67.0,1200000.0,4,11,2020
רוגוזין 51,4.0,9,118.0,1735000.0,4,11,2020
רוגוזין 48,4.0,4,110.0,1320000.0,4,11,2020
ארן זלמן 9,4.0,4,61.0,1450000.0,29,10,2020
קרן היסוד 17,4.0,4,80.0,1000000.0,29,10,2020
שפירא משה חיים 6,3.0,4,61.0,1450000.0,28,10,2020
בן אליעזר אריה 3,4.0,1,85.0,1385000.0,27,10,2020
שפירא משה חיים 9,4.0,1,75.0,1350000.0,27,10,2020
החובלים 4,3.0,0,92.0,1485000.0,20,10,2020
ארן זלמן 21,3.0,3,62.0,1180000.0,1,10,2020
ארן זלמן 7,5.0,7,110.0,1500000.0,29,9,2020
רוגוזין 72,3.0,5,69.0,1220000.0,10,9,2020
קרן היסוד 38,4.0,1,98.0,1380000.0,10,9,2020
בן אליעזר אריה 17,3.0,2,67.0,1200000.0,9,9,2020
עופר אברהם 13,4.0,3,75.0,1420000.0,9,9,2020
רוגוזין 31,4.0,4,92.0,880000.0,8,9,2020
קרן היסוד 15,4.0,1,80.0,1240000.0,8,9,2020
החובלים 5,4.0,6,120.0,1740000.0,6,9,2020
קרן היסוד 32,4.0,5,125.0,1620000.0,2,9,2020
שפירא משה חיים 17,4.0,3,77.0,1200000.0,28,8,2020
שפירא משה חיים 4,3.0,1,61.0,780000.0,25,8,2020
בן אליעזר אריה 13,4.0,1,103.0,1385000.0,14,8,2020
קרן היסוד 37,3.0,3,59.0,650000.0,13,8,2020
ירושלים 9,5.0,4,129.0,1690000.0,11,8,2020
בן אליעזר אריה 16,4.0,5,78.0,1440000.0,31,7,2020
עופר אברהם 15,4.0,6,92.0,1400000.0,27,7,2020
קרן היסוד 37,3.0,2,59.0,1320000.0,26,7,2020
האלמוגים 4,4.0,7,112.0,1620000.0,22,7,2020
שפירא משה חיים 17,4.0,2,78.0,1290000.0,19,7,2020
השייטים 6,4.0,7,92.0,1660000.0,19,7,2020
קרן היסוד 36,4.0,4,78.0,1300000.0,16,7,2020
הרב שאולי 19,4.0,4,61.0,1989000.0,15,7,2020
הרב שאולי 19,4.0,3,61.0,1935000.0,15,7,2020
הרב שאולי 19,4.0,2,61.0,1910000.0,15,7,2020
הרב שאולי 21,4.0,4,110.0,2059000.0,15,7,2020
הרב שאולי 21,3.0,2,60.0,637000.0,15,7,2020
הרב שאולי 19,3.0,3,61.0,646000.0,15,7,2020
הרב שאולי 21,4.0,2,110.0,2024000.0,15,7,2020
הרב שאולי 21,4.0,3,110.0,2044000.0,15,7,2020
הרב שאולי 21,4.0,2,110.0,1920000.0,15,7,2020
הרב שאולי 21,4.0,1,110.0,2009000.0,15,7,2020
הרב שאולי 21,4.0,2,110.0,2029000.0,15,7,2020
הרב שאולי 19,4.0,3,61.0,1936000.0,15,7,2020
הרב שאולי 19,4.0,1,61.0,1833000.0,15,7,2020
הרב שאולי 19,3.0,4,61.0,812000.0,15,7,2020
הרב שאולי 21,4.0,3,110.0,2039000.0,15,7,2020
הרב שאולי 19,4.0,1,61.0,1843000.0,15,7,2020
הרב שאולי 19,4.0,1,61.0,1848000.0,15,7,2020
הרב שאולי 19,4.0,3,61.0,1925000.0,15,7,2020
הרב שאולי 19,4.0,2,61.0,1926000.0,15,7,2020
הרב שאולי 19,4.0,3,61.0,1945000.0,15,7,2020
הרב שאולי 19,4.0,4,61.0,1994000.0,15,7,2020
הרב שאולי 19,4.0,4,61.0,2004000.0,15,7,2020
הרב שאולי 21,4.0,1,110.0,2014000.0,15,7,2020
הרב שאולי 21,4.0,1,110.0,2019000.0,15,7,2020
הרב שאולי 21,4.0,1,110.0,2049000.0,15,7,2020
הרב שאולי 21,4.0,4,110.0,2054000.0,15,7,2020
הרב שאולי 21,5.0,3,110.0,2499000.0,15,7,2020
ארן זלמן 1,4.0,4,85.0,1310000.0,13,7,2020
שפירא משה חיים 4,3.0,3,61.0,1345000.0,13,7,2020
הרב שאולי 21,3.0,4,60.0,637000.0,11,7,2020
ארן זלמן 21,4.0,3,80.0,1270000.0,7,7,2020
החובלים 4,4.0,3,100.0,1435000.0,1,7,2020
קרן היסוד 3,3.0,1,64.0,750000.0,29,6,2020
קרן היסוד 37,3.0,3,59.0,1000000.0,25,6,2020
החובלים 2,4.0,7,99.0,2000000.0,25,6,2020
קרן היסוד 18,5.0,8,115.0,1850000.0,21,6,2020
רוגוזין 35,3.0,2,81.0,860000.0,18,6,2020
בן אליעזר אריה 3,4.0,8,85.0,1500000.0,18,6,2020
ארן זלמן 4,4.0,2,84.0,1415000.0,18,6,2020
המפרש 6,5.0,4,132.0,1850000.0,18,6,2020
בן אליעזר אריה 16,4.0,2,78.0,1320000.0,15,6,2020
רוגוזין 61,4.0,5,99.0,1850000.0,15,6,2020
בן אליעזר אריה 27,4.0,2,79.0,1300000.0,14,6,2020
ארן זלמן 21,4.0,4,80.0,1230000.0,14,6,2020
ירושלים 3,4.0,7,118.0,2000000.0,11,6,2020
ירושלים 3,3.0,8,90.0,1715000.0,10,6,2020
קרן היסוד 9,3.0,3,64.0,1220000.0,9,6,2020
שפירא משה חיים 19,4.0,1,92.0,1430000.0,9,6,2020
רוגוזין 57,4.0,7,96.0,1655000.0,1,6,2020
ארן זלמן 7,3.0,2,61.0,1530000.0,1,6,2020
האלמוגים 4,4.0,2,110.0,1160000.0,31,5,2020
קרן היסוד 23,3.0,3,70.0,1200000.0,19,5,2020
ארן זלמן 7,4.0,6,100.0,1400000.0,17,5,2020
בן אליעזר אריה 20,3.0,4,72.0,1250000.0,13,5,2020
קרן היסוד 45,3.0,3,59.0,1195000.0,12,5,2020
קרן היסוד 21,3.0,4,59.0,1080000.0,11,5,2020
החובלים 5,5.0,4,157.0,1600000.0,10,5,2020
קרן היסוד 43,4.0,3,80.0,1526000.0,7,5,2020
קרן היסוד 47,3.0,2,70.0,1150000.0,28,4,2020
קרן היסוד 31,3.0,2,70.0,1240000.0,1,4,2020
בן אליעזר אריה 4,4.0,4,112.0,1858000.0,25,3,2020
שפירא משה חיים 1,4.0,6,80.0,1350000.0,20,3,2020
בן אליעזר אריה 5,4.0,8,85.0,1460000.0,19,3,2020
קרן היסוד 21,3.0,3,59.0,1220000.0,16,3,2020
קרן היסוד 5,4.0,1,80.0,1190000.0,15,3,2020
שפירא משה חיים 23,3.0,8,70.0,1330000.0,12,3,2020
קרן היסוד 9,3.0,2,64.0,760000.0,3,3,2020
האלמוגים 2,4.0,4,110.0,1550000.0,27,2,2020
עופר אברהם 13,4.0,1,82.0,1260000.0,27,2,2020
ירושלים 9,5.0,5,129.0,1700000.0,26,2,2020
קרן היסוד 17,4.0,1,80.0,1303000.0,21,2,2020
