Address,Rooms,Floor,Square,Price,Day,Month,Year
בן יוסף שלמה 8,4.0,4,76.0,1820000.0,16,12,2021
בן יוסף שלמה 4,4.0,1,76.0,2040000.0,22,11,2021
בן יוסף שלמה 4,4.0,2,104.0,1250000.0,16,11,2021
בן יוסף שלמה 9,5.0,6,127.0,1800000.0,16,11,2021
אלבז נתן 34,3.0,8,67.0,1210000.0,15,11,2021
מיכשוילי 24,5.0,0,118.0,2015000.0,15,11,2021
שפירא אברהם 17,4.0,3,61.0,1650000.0,14,11,2021
יהודה המכבי 12,4.0,1,76.0,1910000.0,14,11,2021
שפירא אברהם 11,4.0,5,93.0,1180000.0,8,11,2021
בן יוסף שלמה 12,2.0,3,38.0,1200000.0,7,11,2021
בן יוסף שלמה 21,3.0,6,94.0,1680000.0,4,11,2021
בן יוסף שלמה 9,4.0,6,80.0,1580000.0,4,11,2021
אלבז נתן 14,2.0,3,38.0,1080000.0,3,11,2021
אלבז נתן 2,2.0,5,45.0,1300000.0,1,11,2021
אלבז נתן 14,2.0,4,38.0,1000000.0,27,10,2021
גור דב 32,3.0,2,49.0,1350000.0,27,10,2021
מיכשוילי 22,4.0,4,78.0,1230000.0,27,10,2021
יהודה המכבי 12,3.0,1,65.0,1550000.0,26,10,2021
מיכשוילי 32,4.0,0,95.0,1500000.0,25,10,2021
אלבז נתן 6,2.0,2,46.0,1180000.0,21,10,2021
ציזלינג 6,3.0,4,49.0,1070000.0,21,10,2021
בן יוסף שלמה 5,4.0,2,75.0,1800000.0,21,10,2021
יהודה המכבי 33,2.0,1,37.0,1270000.0,19,10,2021
בן יוסף שלמה 9,4.0,3,107.0,1530000.0,14,10,2021
מיכשוילי 10,4.0,4,68.0,1280000.0,14,10,2021
שפירא אברהם 7,2.0,4,45.0,459000.0,12,10,2021
בן יוסף שלמה 12,4.0,6,88.0,1080000.0,12,10,2021
גור דב 42,2.0,4,37.0,1220000.0,10,10,2021
גור דב 38,2.0,2,37.0,1230000.0,10,10,2021
מיכשוילי 24,3.0,1,57.0,1580000.0,8,10,2021
גור דב 34,2.0,1,37.0,734000.0,7,10,2021
יהודה המכבי 7,3.0,3,67.0,1100000.0,7,10,2021
חסן ובן גרה 6,3.0,3,49.0,1196000.0,6,10,2021
מיכשוילי 36,3.0,3,57.0,1625000.0,6,10,2021
אלבז נתן 4,2.0,1,45.0,283750.0,5,10,2021
שפירא אברהם 15,4.0,6,105.0,1430000.0,5,10,2021
