Address,Rooms,Floor,Square,Price,Day,Month,Year
מצדה 106,4.0,3,79.0,1688000.0,15,12,2021
ירמוך 6,4.0,2,74.0,1720000.0,21,11,2021
כנרת 57,5.0,1,103.0,1730000.0,17,11,2021
כנרת 114,5.0,1,146.0,2175000.0,17,11,2021
הר כנען 9,4.0,2,79.0,1700000.0,15,11,2021
שומרון 1,3.0,8,79.0,1580000.0,14,11,2021
כנרת 72,4.0,2,79.0,1600000.0,14,11,2021
כנרת 45,4.0,6,118.0,1675000.0,11,11,2021
כנרת 57,4.0,7,79.0,1510000.0,8,11,2021
כנרת 72,4.0,4,79.0,1700000.0,8,11,2021
הרי גולן 17,4.0,6,96.0,1650000.0,4,11,2021
קדרון 14,3.0,1,69.0,1425000.0,3,11,2021
קדרון 10,5.0,6,126.0,2350000.0,31,10,2021
כנרת 41,4.0,3,83.0,1660000.0,31,10,2021
כנרת 53,4.0,9,96.0,1690000.0,25,10,2021
נחל הליטני 7,4.0,0,122.0,405000.0,21,10,2021
מצדה 91,4.0,5,91.0,2135000.0,19,10,2021
קדרון 2,5.0,7,113.0,1750000.0,19,10,2021
כנרת 72,4.0,2,75.0,1570000.0,18,10,2021
הר אביטל 6,5.0,2,124.0,2920000.0,17,10,2021
מצדה 97,4.0,5,78.0,1680000.0,15,10,2021
הר כנען 2,3.0,2,65.0,1315000.0,15,10,2021
מצדה 96,5.0,2,148.0,2770000.0,14,10,2021
נחל שניר 11,4.0,1,79.0,1550000.0,12,10,2021
שומרון 5,4.0,6,97.0,1930000.0,8,10,2021
נחל שניר 23,4.0,3,87.0,1820000.0,6,10,2021
נחל לכיש 11,3.0,3,59.0,1500000.0,5,10,2021
הר כנען 5,4.0,5,80.0,1380000.0,19,9,2021
מצדה 91,4.0,7,93.0,1920000.0,19,9,2021
נחל שניר 19,4.0,5,81.0,1860000.0,19,9,2021
קישון 17,5.0,9,121.0,2520000.0,14,9,2021
נחל לכיש 15,4.0,2,105.0,1750000.0,2,9,2021
קישון 17,5.0,8,121.0,2580000.0,2,9,2021
קישון 17,5.0,9,121.0,2150000.0,1,9,2021
מצדה 91,4.0,6,96.0,2020000.0,31,8,2021
מצדה 106,4.0,1,79.0,1455000.0,25,8,2021
הר כנען 5,3.0,6,62.0,1530000.0,22,8,2021
הר כנען 9,4.0,2,75.0,1560000.0,16,8,2021
נחל שניר 7,3.0,1,79.0,1550000.0,15,8,2021
קישון 17,5.0,9,119.0,1945000.0,15,8,2021
שומרון 5,4.0,3,96.0,1830000.0,10,8,2021
כנרת 41,4.0,7,83.0,1685000.0,8,8,2021
כנרת 77,3.0,7,79.0,1812000.0,5,8,2021
חרמון 10,3.0,4,74.0,1570000.0,3,8,2021
כנרת 58,3.0,4,67.0,1350000.0,30,7,2021
שומרון 4,4.0,6,98.0,1740000.0,29,7,2021
מצדה 89,4.0,4,91.0,1950000.0,13,7,2021
קדרון 12,4.0,1,96.0,1675000.0,8,7,2021
נחל לכיש 47,4.0,7,90.0,1616000.0,7,7,2021
נחל לכיש 43,4.0,2,110.0,1840000.0,6,7,2021
שומרון 3,3.0,8,65.0,1370000.0,5,7,2021
בקעת הירח 3,4.0,7,79.0,1560000.0,30,6,2021
שומרון 5,4.0,4,94.0,1800000.0,30,6,2021
הר כנען 5,3.0,4,62.0,1475000.0,29,6,2021
מצדה 87,5.0,0,125.0,3225000.0,24,6,2021
קישון 11,4.0,3,85.0,1530000.0,23,6,2021
נחל לכיש 22,3.0,0,76.0,1590000.0,21,6,2021
הר כנען 2,3.0,9,85.0,1190000.0,20,6,2021
קישון 15,4.0,5,85.0,1660000.0,17,6,2021
הרי גולן 7,3.0,1,67.0,1470000.0,16,6,2021
ירמוך 6,4.0,1,90.0,1630000.0,15,6,2021
נחל לכיש 11,4.0,4,68.0,1660000.0,14,6,2021
קדרון 14,3.0,4,69.0,1570000.0,10,6,2021
הר כנען 4,3.0,1,80.0,1315000.0,9,6,2021
נחל לכיש 27,4.0,5,98.0,1720000.0,7,6,2021
ירמוך 6,5.0,7,104.0,1830000.0,1,6,2021
קדרון 4,4.0,2,96.0,1780000.0,1,6,2021
שומרון 1,3.0,3,78.0,1500000.0,30,5,2021
נחל לכיש 38,5.0,4,152.0,2150000.0,28,5,2021
כנרת 57,5.0,7,103.0,1710000.0,27,5,2021
נחל לכיש 34,5.0,5,140.0,2250000.0,25,5,2021
שומרון 8,4.0,3,83.0,1650000.0,19,5,2021
מצדה 101,4.0,1,75.0,1410000.0,14,5,2021
מצדה 101,3.0,1,65.0,1370000.0,13,5,2021
כנרת 63,5.0,5,108.0,1825000.0,11,5,2021
הר כנען 4,3.0,3,80.0,1380000.0,10,5,2021
נחל לכיש 3,4.0,2,103.0,1740000.0,8,5,2021
כנרת 94,5.0,4,130.0,2400000.0,5,5,2021
מצדה 95,4.0,7,81.0,2150000.0,5,5,2021
הר כנען 5,3.0,4,62.0,1450000.0,4,5,2021
קדרון 12,4.0,3,95.0,1670000.0,2,5,2021
כנרת 82,5.0,4,131.0,1920000.0,2,5,2021
חרמון 16,5.0,2,124.0,2190000.0,2,5,2021
הר כנען 5,3.0,1,62.0,1590000.0,30,4,2021
מצדה 87,4.0,4,111.0,2400000.0,28,4,2021
מצדה 106,4.0,5,79.0,1580000.0,28,4,2021
קדרון 12,4.0,4,94.0,1255000.0,27,4,2021
הר כנען 2,3.0,1,62.0,1400000.0,27,4,2021
מצדה 89,5.0,10,113.0,2200000.0,25,4,2021
נחל שניר 7,3.0,4,77.0,1635000.0,25,4,2021
מצדה 99,4.0,3,90.0,860000.0,22,4,2021
כנרת 68,4.0,3,79.0,1500000.0,20,4,2021
כנרת 72,4.0,6,79.0,1610000.0,13,4,2021
שומרון 4,4.0,5,87.0,1770000.0,11,4,2021
כנרת 104,4.0,2,95.0,1450000.0,9,4,2021
חרמון 10,4.0,1,93.0,1740000.0,7,4,2021
מצדה 99,4.0,3,72.0,1630000.0,7,4,2021
הר כנען 5,4.0,1,80.0,1600000.0,6,4,2021
מצדה 95,4.0,1,82.0,1700000.0,6,4,2021
קישון 17,5.0,8,119.0,1700000.0,6,4,2021
כנרת 63,4.0,3,103.0,1715000.0,25,3,2021
כנרת 41,4.0,2,83.0,1610000.0,24,3,2021
נחל שניר 11,3.0,5,63.0,1435000.0,22,3,2021
קדרון 14,3.0,2,69.0,717500.0,21,3,2021
נחל שניר 11,4.0,1,79.0,1570000.0,21,3,2021
נחל שניר 7,3.0,3,78.0,1650000.0,21,3,2021
נחל לכיש 27,4.0,6,97.0,1820000.0,15,3,2021
קישון 11,4.0,5,85.0,1600000.0,15,3,2021
מצדה 84,3.0,4,67.0,1320000.0,10,3,2021
הרי גולן 3,3.0,1,67.0,1340000.0,9,3,2021
כנרת 77,4.0,5,122.0,1870000.0,9,3,2021
קדרון 4,5.0,3,110.0,1800000.0,9,3,2021
חרמון 4,5.0,1,130.0,2220000.0,4,3,2021
מצדה 91,3.0,2,81.0,1640000.0,3,3,2021
קדרון 16,4.0,2,90.0,1500000.0,1,3,2021
הרי גולן 15,3.0,6,66.0,1420000.0,26,2,2021
נחל לכיש 23,4.0,4,117.0,1900000.0,25,2,2021
ירמוך 6,4.0,4,90.0,1640000.0,24,2,2021
נחל שניר 7,3.0,3,79.0,1500000.0,24,2,2021
נחל שניר 7,3.0,4,77.0,1635000.0,23,2,2021
נחל לכיש 23,5.0,1,123.0,2110000.0,23,2,2021
שומרון 4,4.0,1,90.0,1745000.0,21,2,2021
מצדה 89,4.0,6,91.0,1980000.0,21,2,2021
הרי גולן 15,4.0,4,77.0,1400000.0,18,2,2021
נחל לכיש 25,5.0,10,121.0,2200000.0,17,2,2021
נחל לכיש 38,5.0,5,135.0,2060000.0,14,2,2021
נחל לכיש 27,4.0,6,98.0,1350000.0,10,2,2021
ירמוך 10,4.0,8,83.0,750000.0,8,2,2021
כנרת 1,4.0,6,85.0,1450000.0,7,2,2021
נחל לכיש 34,4.0,7,127.0,1950000.0,7,2,2021
מצדה 101,3.0,4,65.0,1388000.0,3,2,2021
הרי גולן 3,4.0,8,78.0,1440000.0,1,2,2021
נחל לכיש 15,4.0,6,90.0,1700000.0,27,1,2021
כנרת 96,5.0,3,124.0,925000.0,27,1,2021
קדרון 4,4.0,1,113.0,1660000.0,24,1,2021
הר כנען 5,3.0,7,62.0,1470000.0,21,1,2021
כנרת 57,5.0,6,103.0,1715000.0,21,1,2021
כנרת 66,4.0,2,66.0,1385000.0,20,1,2021
נחל לכיש 27,4.0,4,102.0,1600000.0,14,1,2021
כנרת 23,5.0,2,124.0,2050000.0,14,1,2021
כנרת 10,5.0,1,140.0,2250000.0,13,1,2021
כנרת 1,4.0,6,85.0,1600000.0,6,1,2021
כנרת 104,6.0,3,122.0,1850000.0,6,1,2021
מצדה 106,4.0,6,79.0,1200000.0,5,1,2021
כנרת 61,5.0,5,96.0,1720000.0,5,1,2021
כנרת 23,5.0,3,175.0,2889000.0,5,1,2021
נחל לכיש 43,3.0,5,88.0,1640000.0,29,12,2020
נחל לכיש 45,4.0,8,104.0,1640000.0,29,12,2020
הר כנען 2,3.0,9,70.0,1360000.0,29,12,2020
הרי גולן 9,4.0,2,87.0,1550000.0,22,12,2020
נחל שניר 11,4.0,6,79.0,1550000.0,13,12,2020
כנרת 77,4.0,6,113.0,1865000.0,13,12,2020
כנרת 58,3.0,4,67.0,1320000.0,7,12,2020
שומרון 3,3.0,7,65.0,1440000.0,3,12,2020
נחל לכיש 45,4.0,2,103.0,1750000.0,3,12,2020
נחל שניר 21,5.0,8,112.0,2100000.0,29,11,2020
מצדה 97,4.0,2,78.0,1510000.0,25,11,2020
קישון 11,4.0,5,85.0,1200000.0,25,11,2020
קדרון 14,3.0,7,69.0,1480000.0,22,11,2020
נחל לכיש 9,3.0,5,62.0,1500000.0,19,11,2020
קדרון 12,4.0,1,94.0,1605000.0,19,11,2020
כנרת 55,4.0,8,79.0,1600000.0,18,11,2020
מצדה 91,4.0,9,92.0,1815000.0,15,11,2020
נחל לכיש 32,4.0,2,120.0,1720000.0,15,11,2020
כנרת 61,5.0,4,114.0,2085000.0,12,11,2020
נחל שניר 23,4.0,2,87.0,1660000.0,11,11,2020
שומרון 1,3.0,7,79.0,1500000.0,4,11,2020
נחל לכיש 31,4.0,5,121.0,1350000.0,4,11,2020
נחל לכיש 27,4.0,1,124.0,1795000.0,3,11,2020
נחל שניר 7,4.0,7,78.0,1635000.0,3,11,2020
נחל לכיש 11,3.0,0,62.0,1340000.0,3,11,2020
כנרת 63,3.5,1,83.0,1460000.0,2,11,2020
שומרון 8,4.0,5,82.0,1555000.0,1,11,2020
כנרת 72,4.0,5,75.0,1287000.0,27,10,2020
קדרון 12,4.0,3,95.0,1655000.0,18,10,2020
קישון 11,4.0,6,85.0,1485000.0,16,9,2020
הר כנען 16,3.5,4,66.0,1250000.0,16,9,2020
הר כנען 2,2.0,7,55.0,1380000.0,16,9,2020
הר כנען 9,3.5,4,75.0,1575000.0,16,9,2020
נחל לכיש 47,4.5,8,100.0,1700000.0,9,9,2020
מצדה 87,5.0,9,140.0,2650000.0,7,9,2020
הרי גולן 7,3.5,1,78.0,1550000.0,4,9,2020
כנרת 104,4.0,1,95.0,1480000.0,2,9,2020
נחל שניר 19,4.0,4,90.0,1750000.0,26,8,2020
נחל לכיש 11,4.0,2,71.0,1400000.0,6,8,2020
כנרת 104,5.5,5,120.0,1700000.0,5,8,2020
נחל שניר 15,4.0,4,79.0,1500000.0,4,8,2020
כנרת 47,5.0,6,138.0,1620000.0,21,7,2020
הרי גולן 7,3.0,8,67.0,1500000.0,20,7,2020
שומרון 8,5.0,1,109.0,900000.0,20,7,2020
מצדה 99,4.5,2,104.0,1690000.0,16,7,2020
נחל שניר 15,3.0,6,63.0,1440000.0,9,7,2020
חרמון 4,5.0,9,120.0,2500000.0,9,7,2020
חרמון 4,5.0,7,120.0,2260000.0,8,7,2020
שומרון 4,4.0,5,90.0,1649000.0,3,7,2020
שומרון 3,3.5,3,65.0,1370000.0,28,6,2020
כנרת 63,4.0,4,90.0,1560000.0,28,6,2020
קדרון 10,5.0,3,126.0,1900000.0,25,6,2020
הרי גולן 3,3.5,1,78.0,1500000.0,25,6,2020
קישון 17,4.0,7,85.0,1485000.0,22,6,2020
כנרת 59,4.0,4,92.0,1600000.0,21,6,2020
מצדה 99,4.0,2,72.0,1530000.0,18,6,2020
מצדה 106,4.0,4,79.0,1495000.0,10,6,2020
הר כנען 4,3.0,8,84.0,1325000.0,9,6,2020
שומרון 5,4.0,7,96.0,1695000.0,7,6,2020
נחל לכיש 34,5.0,3,140.0,2250000.0,31,5,2020
כנרת 58,3.0,1,67.0,1327000.0,26,5,2020
נחל לכיש 5,3.0,7,55.0,1265000.0,24,5,2020
חרמון 6,5.0,4,131.0,2091000.0,24,5,2020
הר כנען 4,3.0,9,74.0,1230000.0,21,5,2020
כנרת 53,4.0,7,96.0,1455000.0,19,5,2020
נחל לכיש 47,4.0,4,100.0,1620000.0,19,5,2020
ירמוך 6,4.0,5,83.0,1720000.0,14,5,2020
הרי גולן 3,3.0,2,67.0,1440000.0,11,5,2020
